station_id,pln_area,latitude,longitude,elev_mean,elev_min,elev_std,rain_sum_15m,rain_sum_30m,rain_sum_90m,rain_max_5m,target
S111,NEWTON,1.31055,103.8365,20.37,1.45,9.67,1.2,2.4,17.0,2.8,0
S112,LIM CHU KANG,1.43854,103.70131,11.9,0.0,8.19,16.2,45.4,58.8,11.0,0
S230,CLEMENTI,1.30167,103.76444,13.65,-3.95,8.7,0.0,0.0,1.0,0.4,0
S219,SERANGOON,1.37999,103.87643,17.63,-10.53,6.56,2.8,14.799999999999999,33.6,8.2,0
S216,ANG MO KIO,1.36019,103.85335,24.3,2.72,10.78,3.8,13.4,73.6,11.2,0
S217,BISHAN,1.35041,103.85526,19.03,-9.25,11.56,4.2,12.5,58.9,8.9,0
S214,KALLANG,1.29911,103.88289,6.74,-9.07,4.4,3.4,6.0,15.6,2.0,0
S215,GEYLANG,1.32785,103.88899,7.77,-25.52,4.71,5.6000000000000005,11.8,50.800000000000004,7.3,0
S213,BUKIT TIMAH,1.32427,103.8097,27.48,2.41,11.24,0.4,0.6000000000000001,3.2,0.6,0
S81,PUNGGOL,1.4029,103.9092,10.82,0.0,7.63,6.800000000000001,9.4,21.4,3.6,0
S40,CENTRAL WATER CATCHMENT,1.4044,103.78962,41.66,4.75,15.28,2.6,9.4,43.2,6.2,0
S84,TAMPINES,1.3437,103.9444,13.2,-11.71,5.93,4.2,8.6,8.8,2.8,0
S44,WESTERN WATER CATCHMENT,1.34583,103.68166,19.66,-0.44,13.56,0.6,0.6,1.6,0.6,0
S88,TOA PAYOH,1.3427,103.8482,14.01,-10.24,7.79,4.8,9.6,41.0,6.2,0
S221,HOUGANG,1.35691,103.89088,14.32,-9.41,7.21,6.8,34.1,47.8,14.3,0
S222,BUKIT MERAH,1.28987,103.82364,18.86,-16.84,16.27,0.6000000000000001,2.0,18.599999999999998,5.8,0
S08,CENTRAL WATER CATCHMENT,1.3701,103.8271,41.66,4.75,15.28,6.0,12.0,60.4,9.4,0
S07,CENTRAL WATER CATCHMENT,1.3415,103.8334,41.66,4.75,15.28,3.0,3.4,21.8,3.8,0
S220,SENGKANG,1.38666,103.89797,14.9,-22.87,6.28,8.2,15.8,52.8,9.9,0
S208,CHANGI,1.3136,104.00317,8.72,-3.66,7.16,14.3,19.4,19.4,6.5,0
S203,QUEENSTOWN,1.29164,103.7702,17.54,-5.58,13.97,0.0,0.0,1.6,0.8,0
S201,CLEMENTI,1.32311,103.76714,13.65,-3.95,8.7,0.6000000000000001,1.0,2.2,0.6,0
S90,TANGLIN,1.3191,103.8191,22.57,-8.1,10.51,0.6000000000000001,1.6,5.6000000000000005,0.8,0
S92,QUEENSTOWN,1.2841,103.7886,17.54,-5.58,13.97,0.2,0.6000000000000001,3.8000000000000003,0.8,0
S209,YISHUN,1.42111,103.84472,13.43,-17.85,10.35,2.6,15.200000000000001,45.0,7.9,0
S50,BUKIT TIMAH,1.3337,103.7768,27.48,2.41,11.24,1.0,2.0,4.0,0.4,0
S94,PASIR RIS,1.3662,103.9528,12.81,-26.27,8.36,5.800000000000001,25.8,38.2,7.2,0
S210,WOODLANDS,1.44003,103.76904,23.44,-6.88,9.05,13.6,16.8,88.2,14.7,0
S211,SUNGEI KADUT,1.42918,103.75711,17.33,-37.0,16.99,6.0,17.2,62.4,7.6,0
S119,DOWNTOWN CORE,1.30105,103.8666,8.6,-7.01,7.26,0.0,1.6,2.6,1.0,0
S117,WESTERN ISLANDS,1.256,103.679,4.12,-9.75,3.73,0.0,0.0,0.0,0.0,0
S60,SOUTHERN ISLANDS,1.25,103.8279,14.01,-0.59,15.33,0.2,0.8,35.8,6.0,0
S64,BUKIT PANJANG,1.3824,103.7603,48.75,5.07,28.76,4.0,9.200000000000001,18.400000000000002,3.4,0
S66,LIM CHU KANG,1.4387,103.7363,11.9,0.0,8.19,5.2,17.6,56.0,9.2,0
S24,CHANGI,1.3678,103.9826,8.72,-3.66,7.16,4.0,5.4,6.0,2.0,0
S69,CENTRAL WATER CATCHMENT,1.37,103.805,41.66,4.75,15.28,4.4,11.2,43.8,6.4,0
S123,KALLANG,1.3214,103.8577,6.74,-9.07,4.4,6.4,12.0,51.8,7.4,0
S229,JURONG WEST,1.35167,103.72195,13.73,-5.57,7.2,10.3,17.7,24.1,3.9,0
S900,SELETAR,1.41284,103.86922,8.34,-5.39,4.69,5.8,15.4,47.800000000000004,8.8,0
S109,ANG MO KIO,1.3764,103.8492,24.3,2.72,10.78,5.4,13.4,48.8,9.4,0
S106,NORTH-EASTERN ISLANDS,1.4168,103.9673,4.15,-9.37,9.38,7.6000000000000005,21.2,30.8,6.4,0
S227,WOODLANDS,1.43944,103.80389,23.44,-6.88,9.05,0.2,3.8,59.6,15.1,0
S228,JURONG WEST,1.34703,103.70073,13.73,-5.57,7.2,3.4,8.799999999999999,10.0,4.6,0
S226,BUKIT MERAH,1.27472,103.80389,18.86,-16.84,16.27,0.2,1.0,13.0,2.4,0
S102,WESTERN ISLANDS,1.189,103.768,4.12,-9.75,3.73,0.0,0.0,0.0,0.0,0
S223,QUEENSTOWN,1.29984,103.80264,17.54,-5.58,13.97,0.2,0.8,4.8,1.4,0
S71,QUEENSTOWN,1.2923,103.7815,17.54,-5.58,13.97,0.2,0.4,2.4,1.0,0
S33,JURONG EAST,1.3081,103.71,7.2,-6.99,5.76,3.0,3.0,4.4,3.0,0
S77,QUEENSTOWN,1.2937,103.8125,17.54,-5.58,13.97,0.2,1.4000000000000001,7.8,2.2,0
